mall,address,postal,lat,lon
Bedok Mall,311 NEW UPPER CHANGI ROAD BEDOK MALL SINGAPORE 467360,467360,1.324736328,103.9292563
Century Square,2 TAMPINES CENTRAL 5 CENTURY SQUARE SINGAPORE 529509,529509,1.352368296,103.9438123
Changi City Point,5 CHANGI BUSINESS PARK CENTRAL 1 CHANGI CITY POINT SINGAPORE 486038,486038,1.334036379,103.9629176
Downtown East,1 PASIR RIS CLOSE COSTA SANDS RESORT (DOWNTOWN EAST) SINGAPORE 519599,519599,1.379127179,103.9554448
Eastpoint Mall,3 SIMEI STREET 6 EASTPOINT MALL SINGAPORE 528833,528833,1.342705924,103.9530246
Jewel Changi Airport,78 AIRPORT BOULEVARD JEWEL CHANGI AIRPORT SINGAPORE 819666,819666,1.360341007,103.9890776
Katong Shopping Centre,865 MOUNTBATTEN ROAD KATONG SHOPPING CENTRE SINGAPORE 437844,437844,1.304097312,103.9015159
Kallang Wave Mall,1 STADIUM PLACE KALLANG WAVE MALL SINGAPORE 397628,397628,1.303075152,103.8731497
Leisure Park Kallang,5 STADIUM WALK LEISURE PARK KALLANG SINGAPORE 397693,397693,1.302301084,103.876474
112 KATONG,112 EAST COAST ROAD 112 KATONG SINGAPORE 428802,428802,1.3053494,103.9050436
Our Tampines Hub,1 TAMPINES WALK HAWKER CENTRE @ OUR TAMPINES HUB SINGAPORE 528523,528523,1.353547405,103.9403811
Parkway Parade,80 MARINE PARADE ROAD PARKWAY PARADE SINGAPORE 449269,449269,1.301069755,103.9052795
Paya Lebar Quarter,10 PAYA LEBAR ROAD PAYA LEBAR QUARTER SINGAPORE 409057,409057,1.317708869,103.8934147
Paya Lebar Square,60 PAYA LEBAR ROAD PAYA LEBAR SQUARE SINGAPORE 409051,409051,1.31881487,103.8925808
SingPost,10 EUNOS ROAD 8 SINGAPORE POST CENTRE SINGAPORE 408600,408600,1.318996669,103.8948949
Tampines 1,203 TAMPINES STREET 21 PCF TAMPINES EAST 3-IN-1 FAMILY CENTRE (STUDENT CARE) SINGAPORE 520203,520203,1.352227945,103.9524374
Tampines Mall,4 TAMPINES CENTRAL 5 TAMPINES MALL SINGAPORE 529510,529510,1.352527373,103.9446988
White Sands,2 PASIR RIS STREET 11 LEARNING LEAP PTE LTD (WHITE SANDS PRIMARY SCHOOL) SINGAPORE 519075,519075,1.365636109,103.9608618
Pasir Ris Mall,7 PASIR RIS CENTRAL PASIR RIS MALL SINGAPORE 519612,519612,1.373824378,103.9487489
AMK Hub,53 ANG MO KIO AVENUE 3 AMK HUB SINGAPORE 569933,569933,1.369389227,103.848478
Canberra Plaza,133 CANBERRA VIEW CANBERRA PLAZA SINGAPORE 750133,750133,1.443495445,103.8303454
Causeway Point,1 WOODLANDS SQUARE CAUSEWAY POINT SINGAPORE 738099,738099,1.436070065,103.7859815
Northpoint City,930 YISHUN AVENUE 2 NORTHPOINT CITY SINGAPORE 769098,769098,1.429698486,103.8357765
Sembawang Shopping Centre,604 SEMBAWANG ROAD SEMBAWANG SHOPPING CENTRE SINGAPORE 758459,758459,1.441824707,103.8248452
Sun Plaza,30 SEMBAWANG DRIVE SUN PLAZA SINGAPORE 757713,757713,1.448195354,103.8195021
Compass One,1 SENGKANG SQUARE COMPASS ONE SINGAPORE 545078,545078,1.392053142,103.8950705
Heartland Mall,205 HOUGANG STREET 21 HEARTLAND MALL-KOVAN SINGAPORE 530205,530205,1.359541773,103.8851674
Hougang Mall,90 HOUGANG AVENUE 10 HOUGANG MALL SINGAPORE 538766,538766,1.372491186,103.8937741
NEX,23 SERANGOON CENTRAL NEX SINGAPORE 556083,556083,1.350769353,103.8722961
Oasis Terraces,681 PUNGGOL DRIVE OASIS TERRACES SINGAPORE 820681,820681,1.402780157,103.9132151
Punggol Plaza,168 PUNGGOL FIELD PUNGGOL PLAZA SINGAPORE 820168,820168,1.394237197,103.9130473
Punggol Coast Mall,88 PUNGGOL WAY PUNGGOL COAST MALL SINGAPORE 829913,829913,1.414710593,103.9108314
The Seletar Mall,33 SENGKANG WEST AVENUE THE SELETAR MALL SINGAPORE 797653,797653,1.391470154,103.8761255
Waterway Point,83 PUNGGOL CENTRAL SHAW THEATRES WATERWAY POINT SINGAPORE 828761,828761,1.406536117,103.9019882
Northshore Plaza I,407 NORTHSHORE DRIVE NORTHSHORE PLAZA I SINGAPORE 820407,820407,1.416761272,103.9020744
Northshore Plaza II,418 NORTHSHORE DRIVE NORTHSHORE PLAZA II SINGAPORE 820418,820418,1.417961431,103.9013218
Anchorvale Village,339 ANCHORVALE ROAD ANCHORVALE VILLAGE SINGAPORE 540339,540339,1.396793153,103.8884373
Sengkang Grand Mall,70 COMPASSVALE BOW SENGKANG GRAND MALL SINGAPORE 544692,544692,1.382981632,103.892721
Hougang Mall,90 HOUGANG AVENUE 10 HOUGANG MALL SINGAPORE 538766,538766,1.3726187,103.8938051
Bukit Panjang Plaza,1 JELEBU ROAD BUKIT PANJANG PLAZA SINGAPORE 677743,677743,1.379920452,103.7643572
Dairy Farm Mall,4 DAIRY FARM LANE DAIRY FARM MALL SINGAPORE 677622,677622,1.365570784,103.7750491
Fajar Shopping Centre,445 FAJAR ROAD FAJAR SHOPPING CENTRE SINGAPORE 670445,670445,1.383580324,103.7707685
Gek Poh Shopping Centre,762 JURONG WEST STREET 75 GEK POH SHOPPING CENTRE SINGAPORE 640762,640762,1.348743571,103.6977321
Greenridge Shopping Centre,524A JELAPANG ROAD GREENRIDGE SHOPPING CENTRE SINGAPORE 671524,671524,1.385405693,103.7662285
Hillion Mall,17 PETIR ROAD HILLION MALL SINGAPORE 678278,678278,1.378431008,103.7628428
IMM,2 JURONG EAST STREET 21 IMM BUILDING SINGAPORE 609601,609601,1.334875261,103.7468948
Jem,50 JURONG GATEWAY ROAD JEM SINGAPORE 608549,608549,1.333293345,103.7432787
Junction 10,1 WOODLANDS ROAD JUNCTION 10 SINGAPORE 677899,677899,1.38033681,103.7601679
Jurong Point,1 JURONG WEST CENTRAL 2 GOLDEN VILLAGE (GV JURONG POINT) SINGAPORE 648886,648886,1.339452004,103.706685
HillV2,4 HILLVIEW RISE HILLV2 SINGAPORE 667979,667979,1.362674508,103.7641729
Le Quest,4 BUKIT BATOK STREET 41 LE QUEST SINGAPORE 657991,657991,1.355941712,103.741127
Limbang Shopping Centre,533 CHOA CHU KANG STREET 51 LIMBANG SHOPPING CENTRE SINGAPORE 680533,680533,1.392067823,103.7431023
Lot 1,11 PAYA LEBAR ROAD LOTUS AT PAYA LEBAR (EAST WING) SINGAPORE 409050,409050,1.315735794,103.8915605
Pioneer Mall,638 JURONG WEST STREET 61 PIONEER MALL SINGAPORE 640638,640638,1.341692392,103.6971748
Plantation Plaza,127 PLANTATION CRESCENT PLANTATION PLAZA SINGAPORE 690127,690127,1.357593194,103.7341749
Parc Point,302 TENGAH PARK AVENUE PARC POINT SINGAPORE 690302,690302,1.360625151,103.738768
Queensway Shopping Centre,1 QUEENSWAY QUEENSWAY SHOPPING CENTRE SINGAPORE 149053,149053,1.287595189,103.8033973
The Clementi Mall,3155 COMMONWEALTH AVENUE WEST THE CLEMENTI MALL SINGAPORE 129588,129588,1.314896196,103.7644231
The Rail Mall,384 UPPER BUKIT TIMAH ROAD THE RAIL MALL SINGAPORE 678042,678042,1.357811035,103.7680806
Teck Whye Shopping Centre,137 TECK WHYE LANE TECK WHYE SHOPPING CENTRE SINGAPORE 680137,680137,1.38004753,103.7524838
The Star Vista,1 VISTA EXCHANGE GREEN THE STAR VISTA SINGAPORE 138617,138617,1.30697044,103.7884203
West Coast Plaza,154 WEST COAST ROAD MINDCHAMPS PRESCHOOL @ WEST COAST PLAZA PTE. LIMITED SINGAPORE 127371,127371,1.303624575,103.7658584
Westgate,3 GATEWAY DRIVE WESTGATE SINGAPORE 608532,608532,1.334157676,103.7427665
West Mall,1 BUKIT BATOK CENTRAL LINK WEST MALL SINGAPORE 658713,658713,1.35001921,103.7492448
YewTee Point,21 CHOA CHU KANG NORTH 6 YEWTEE POINT SINGAPORE 689578,689578,1.3970358,103.7464982
V On Shenton,5A SHENTON WAY V ON SHENTON SINGAPORE 068814,68814,1.277083407,103.8491813
Capitol Singapore,11 STAMFORD ROAD EDEN RESIDENCES CAPITOL SINGAPORE 178884,178884,1.292987754,103.8510468
The Arcade,11 COLLYER QUAY THE ARCADE SINGAPORE 049317,49317,1.2837488,103.8520485
Clementi Mall,3155 COMMONWEALTH AVENUE WEST THE CLEMENTI MALL SINGAPORE 129588,129588,1.314896196,103.7644231
Djitsun Mall,445 BEDOK NORTH STREET 1 DJITSUN MALL BEDOK SINGAPORE 469661,469661,1.326119703,103.9295545
Esplanade Mall,8 RAFFLES AVENUE ESPLANADE MALL SINGAPORE 039802,39802,1.289647845,103.8562673
Forum The Shopping Mall,583 ORCHARD ROAD FORUM THE SHOPPING MALL SINGAPORE 238884,238884,1.306097522,103.8286786
Fu Lu Shou Complex,149 ROCHOR ROAD FU LU SHOU COMPLEX SINGAPORE 188425,188425,1.301512586,103.8544972
Great World,1 KIM SENG PROMENADE GREAT WORLD CITY SINGAPORE 237994,237994,1.293422727,103.8320221
Holland Road Shopping Centre,211 HOLLAND AVENUE HOLLAND ROAD SHOPPING CENTRE SINGAPORE 278967,278967,1.310277476,103.7953712
Hougang 1,1 HOUGANG STREET 91 HOUGANG 1 SINGAPORE 538692,538692,1.375715307,103.8794723
Lot One,21 CHOA CHU KANG AVENUE 4 SHAW THEATRES LOT ONE SINGAPORE 689812,689812,1.385069923,103.7452389
Mandarin Gallery,333A ORCHARD ROAD MANDARIN GALLERY SINGAPORE 238897,238897,1.302004717,103.836584
The Shoppes at Marina Bay Sands,2 BAYFRONT AVENUE THE SHOPPES AT MARINA BAY SANDS SINGAPORE 018972,18972,1.28423496,103.8589823
Nex,23 SERANGOON CENTRAL NEX SINGAPORE 556083,556083,1.350769353,103.8722961
Novena Square,238 THOMSON ROAD NOVENA SQUARE SINGAPORE 307683,307683,1.319967484,103.8438506
Orchard Towers,400 ORCHARD ROAD ORCHARD TOWERS SINGAPORE 238875,238875,1.306977966,103.8292141
Peninsula Plaza,111 NORTH BRIDGE ROAD PENINSULA PLAZA SINGAPORE 179098,179098,1.292317422,103.8508032
Rochester Mall,35 ROCHESTER DRIVE ROCHESTER MALL SINGAPORE 138639,138639,1.305407656,103.7884467
Seletar Mall,33 SENGKANG WEST AVENUE THE SELETAR MALL SINGAPORE 797653,797653,1.391470154,103.8761255
South Beach,30 BEACH ROAD JW MARRIOTT SINGAPORE SOUTH BEACH SINGAPORE 189763,189763,1.294687017,103.8555287
Suntec City Mall,3 TEMASEK BOULEVARD SUNTEC CITY MALL SINGAPORE 038983,38983,1.295931895,103.8590144
Tang Plaza,320 ORCHARD ROAD SINGAPORE MARRIOTT TANG PLAZA HOTEL SINGAPORE 238865,238865,1.305025626,103.8329575
The Golden Mile,5001 BEACH ROAD THE GOLDEN MILE SINGAPORE 199588,199588,1.302742206,103.8651041
The Majestic,80 EU TONG SEN STREET THE MAJESTIC SINGAPORE 059810,59810,1.28471077,103.8431974
United Square,101 THOMSON ROAD UNITED SQUARE SINGAPORE 307591,307591,1.31719451,103.8436114
Dawson Place,57 DAWSON ROAD DAWSON PLACE SINGAPORE 142057,142057,1.292703399,103.810959
GV Yishun,51 YISHUN CENTRAL 1 GOLDEN VILLAGE (GV YISHUN) SINGAPORE 768794,768794,1.429915542,103.8364734
The Cathay,2 HANDY ROAD THE CATHAY SINGAPORE 229233,229233,1.299206091,103.8478268
Amber Mansions,12 AMBER GARDENS KING'S MANSION SINGAPORE 439959,439959,1.300613409,103.8984088
Bedok Point,327 BEDOK ROAD JEET'S LITTLE LEARNERS (BEDOK) PTE. LTD. SINGAPORE 469498,469498,1.330548499,103.9477784
CAPITOL PIAZZA,13 STAMFORD ROAD CAPITOL PIAZZA SINGAPORE 178905,178905,1.2931932,103.8512492
Funan ,107 NORTH BRIDGE ROAD FUNAN SINGAPORE 179105,179105,1.291477,103.8500261
JCube,470 NORTH BRIDGE ROAD BUGIS CUBE SINGAPORE 188735,188735,1.298140834,103.8556353
SCOTTS SQUARE,6 SCOTTS ROAD SCOTTS SQUARE SINGAPORE 228209,228209,1.3059143,103.8330585
Shaw Tower,100 BEACH ROAD SHAW TOWERS SINGAPORE 189702,189702,1.296483376,103.8567239
The Verge,118 LORONG H TELOK KURAU THE VERTE SINGAPORE 426146,426146,1.316693044,103.9141414
Tanglin Mall,163 TANGLIN ROAD TANGLIN MALL SINGAPORE 247933,247933,1.3049579,103.8238639
